circuitdata_material_db_id,manufacturer,name,ipc_standard,ipc_slash_sheet,tg_min,dk,ul_94,cti,df,td_min,t260,t280,t300,mot,z_cte,z_cte_before_tg,z_cte_after_tg,dielectric_breakdown,water_absorption,thermal_conductivity,,ipc_sm_840_class,electric_strength
,,,,,,,,,,,,,,,,,,,,,,,
,Ventec,VT-481,4101,99|21,150,4.28,v-0,3,0.015,325,60,25,,,,,,,,,,,
,TUC,TU-662,4101,21|98|99|101,150,4.3,v-0,3,0.018,340,60,10,,130,,45,280,50,0.13,0.53,E185972,,
,TUC,TU-662F,4101,21|98|99|101,155,4.4,v-0,3,0.02,345,60,20,,130,,35,220,50,0.11,,E185972,,
,TUC,TU-768,4101,21|24|26|28|98|99|101|126,170,4.4,v-0,3,0.019,350,60,15,,130,,40,240,50,0.18,0.49,E185972,,
,TUC,TU-768F,4101,21|24|26|28|98|99|101|126,170,4.5,v-0,3,0.019,350,60,15,,130,,35,210,50,0.18,,E185972,,
,TUC,TU-747 HF,4101,127|128,,3.8,v-0,3,0.014,360,,60,,130,,40,240,,0.08,0.58,E185972,,
,TUC,TU-747T,4101,127|128,,3.8,v-0,3,0.014,380,60,60,,130,,40,250,,0.12,,E185972,,
,TUC,TU-747 LK,4101,127|128,,3.3,v-0,3,0.011,360,,60,,130,,40,230,,0.08,,E185972,,
,TUC,TU-862 HF,4101,127|128|130,,4.5,v-0,3,0.013,390,60,60,,130,,40,200,50,0.15,0.58,E185972,,
,TUC,TU-862T,4101,127|128|130,190,4.5,v-0,3,0.013,370,60,60,,130,,,,50,0.15,0.62,E185972,,
,TUC,TU-865,4101,127|128|130,200,4.6,v-0,3,0.013,370,60,60,,130,,35,180,50,0.13,0.62,E185972,,
,TUC,TU-872 LK,4101,29|98|99|101|126,200,4,v-0,3,0.008,340,60,20,,130,,40,240,50,0.15,0.5,E185972,,
