id,name,description,location,verified,ul,ul_c
47cbc44d-d337-4030-9492-b032c1dae20b,3M,"","","","",""
459654d4-ffcf-499b-8150-c0e50335e155,AISMALIBAR,Created from Material DB spreadsheet,"",false,"",""
7abce77d-259b-4c5f-b3c7-ee58832de2fe,Allstar Zs,Created from Material DB spreadsheet,"",false,"",""
99e4f20e-0627-4e1b-af01-c688fe309b3d,AMC (TW),"","","","",""
69c1dddb-cf37-4027-8f47-1e1d5ad8b952,Arlon,Created from Material DB spreadsheet,"",false,"",""
d2129f69-d4b5-481e-9998-a6d9737a91fd,Bergquist,Created from Material DB spreadsheet,"",false,"",""
5b96beb2-6c0a-4efd-ae51-9f1404ea15d0,Cambridge Nanotherm,Created from Material DB spreadsheet,"",false,"",""
750aafb0-ff76-4d97-9fc8-72d1af83035b,CeramTec,Created from Material DB spreadsheet,"",false,"",""
7e4774d8-1898-485d-8e16-21173adc02ee,CHAOSHUN,Created from Material DB spreadsheet,"",false,"",""
daa80b14-a5bf-48a5-a3de-8cf5a6063760,Chin-Shi Electronic Materials TW,Created from Material DB spreadsheet,"",false,"",""
813ad579-c6a6-43bc-86e1-2e1a40edf3e4,Dongguan Langban,"","","","",""
270d57ee-8199-4b2f-bd95-aac64ff8ca42,Dongli (HeShan DongLi Electronic),Created from Material DB spreadsheet,"",false,"",""
58e3150e-a57c-4abe-bfcb-15e242d0d24b,Doosan,Created from Material DB spreadsheet,"",false,"",""
3ecd13f7-b09f-4bee-9f2f-8e0eeac28685,Dupont,Created from Material DB spreadsheet,"",false,"",""
c41e385d-5b4a-4e51-bf9b-4061bfd14c99,Electra,"","","","",""
9e933ecd-6967-4d4b-b3a5-c840520fda8b,Elektro Isola,Created from Material DB spreadsheet,"",false,"",""
aa8925ce-f90e-4586-bac2-e3a975cdc62d,EMC,Created from Material DB spreadsheet,"",false,"",""
226ca6c1-c64f-488e-839a-e030bfedb7c9,Eternal,"","","","",""
17b9f8f8-2914-4904-97fd-f382d7ef951f,Faradflex,"","","","",""
a2020ad8-0446-4e3c-83fb-19931adeadf1,Fotochem,"","","","",""
